sequance,matrix,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,a65,a66,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,a80,a81,a82,a83,a84,a85,a86,a87,a88,a89,a90,a91,a92,a93,a94,a95,a96,a97,a98,a99,a100
0,tv,0.4027777777777778,0.10069444444444445,0.03356481481481481,0.016782407407407406,0.004195601851851851,0.0010489004629629629,0.0005244502314814814,0.00013111255787037036,6.555627893518518e-05,2.1852092978395057e-05,1.0926046489197529e-05,3.642015496399176e-06,1.214005165466392e-06,6.07002582733196e-07,2.0233419424439866e-07,6.744473141479955e-08,2.2481577138266515e-08,1.1240788569133257e-08,2.8101971422833144e-09,1.4050985711416572e-09,7.025492855708286e-10,3.512746427854143e-10,1.7563732139270715e-10,4.390933034817679e-11,2.1954665174088393e-11,5.488666293522098e-12,1.3721665733805246e-12,3.4304164334513115e-13,1.1434721444837705e-13,2.858680361209426e-14,1.429340180604713e-14,3.573350451511783e-15,8.933376128779457e-16,4.466688064389728e-16,1.116672016097432e-16,3.722240053658107e-17,9.305600134145268e-18,2.326400033536317e-18,1.1632000167681585e-18,2.908000041920396e-19,1.454000020960198e-19,3.635000052400495e-20,1.8175000262002476e-20,9.087500131001238e-21,2.2718750327503095e-21,5.679687581875774e-22,1.4199218954689434e-22,4.733072984896478e-23,1.1832682462241195e-23,5.916341231120598e-24,1.4790853077801494e-24,7.395426538900747e-25,3.6977132694503735e-25,1.8488566347251868e-25,9.244283173625934e-26,4.622141586812967e-26,1.1555353967032417e-26,3.851784655677472e-27,1.2839282185591573e-27,3.2098205463978933e-28,1.6049102731989466e-28,5.349700910663155e-29,2.6748504553315774e-29,6.687126138328943e-30,3.343563069164472e-30,8.35890767291118e-31,2.7863025576370596e-31,6.965756394092649e-32,1.7414390985231623e-32,4.3535977463079056e-33,1.4511992487693019e-33,4.837330829231006e-34,1.2093327073077516e-34,3.023331768269379e-35,1.5116658841346895e-35,5.0388862804489644e-36,2.5194431402244822e-36,6.2986078505612055e-37,1.5746519626403014e-37,7.873259813201507e-38,1.9683149533003767e-38,4.920787383250942e-39,2.460393691625471e-39,6.150984229063677e-40,3.0754921145318386e-40,7.688730286329597e-41,1.9221825715823991e-41,4.805456428955998e-42,1.6018188096519993e-42,5.3393960321733304e-43,2.6696980160866652e-43,8.89899338695555e-44,2.2247483467388876e-44,7.415827822462958e-45,2.4719426074876524e-45,1.2359713037438262e-45,4.119904345812754e-46,1.0299760864531884e-46,5.149880432265942e-47
0,tn,0.38211382113821135,0.09552845528455284,0.031842818428184275,0.015921409214092137,0.0053071364046973785,0.0017690454682324594,0.0005896818227441531,0.00029484091137207654,9.828030379069217e-05,2.4570075947673044e-05,1.2285037973836522e-05,3.0712594934591305e-06,7.678148733647826e-07,3.839074366823913e-07,9.597685917059783e-08,4.798842958529891e-08,2.3994214792649457e-08,5.998553698162364e-09,1.499638424540591e-09,7.498192122702955e-10,1.8745480306757388e-10,6.248493435585795e-11,2.082831145195265e-11,1.0414155725976325e-11,3.4713852419921084e-12,8.678463104980271e-13,4.3392315524901355e-13,1.0848078881225339e-13,2.7120197203063347e-14,1.3560098601531673e-14,3.3900246503829184e-15,1.6950123251914592e-15,5.65004108397153e-16,1.4125102709928826e-16,7.062551354964413e-17,3.5312756774822064e-17,1.7656378387411032e-17,4.414094596852758e-18,2.207047298426379e-18,7.356824328087929e-19,3.6784121640439647e-19,1.2261373880146548e-19,6.130686940073274e-20,2.043562313357758e-20,5.108905783394395e-21,2.5544528916971974e-21,6.386132229242994e-22,3.193066114621497e-22,7.982665286553742e-23,2.6608884288512473e-23,8.869628096170823e-24,4.434814048085412e-24,1.4782713493618038e-24,3.6956783734045094e-25,1.8478391867022547e-25,4.619597966755637e-26,2.3097989833778184e-26,5.774497458444546e-27,2.887248729222273e-27,9.62416243074091e-28,4.812081215370455e-28,1.6040270717901517e-28,8.020135358950758e-29,2.0050338397376896e-29,1.0025169198688448e-29,2.506292299672112e-30,6.26573074918028e-31,3.13286537459014e-31,1.56643268729507e-31,7.83216343647535e-32,1.9580408591188375e-32,6.526802863729457e-33,1.6317007159323643e-33,5.439002386441214e-34,1.3597505966103035e-34,6.798752983051517e-35,1.6996882457628793e-35,8.498441228814397e-36,2.1246103072035992e-36,1.0623051536017996e-36,2.655762884004499e-37,8.852542946681663e-38,2.2131357366704156e-38,1.1065678683352078e-38,2.7664196708380196e-39,1.3832098354190098e-39,6.916049177095049e-40,3.4580245885475244e-40,1.7290122942737622e-40,4.3225307356844056e-41,2.1612653678422028e-41,1.0806326839211014e-41,5.403163419605507e-42,2.7015817098027535e-42,6.753954274506884e-43,1.688488568626721e-43,8.442442843133605e-44,2.814147614377868e-44,7.03536903594467e-45
0,bl,0.22967479674796748,0.11483739837398374,0.05741869918699187,0.028709349593495935,0.014354674796747968,0.007177337398373984,0.003588668699186992,0.001794334349593496,0.000897167174796748,0.000448583587398374,0.000224291793699187,0.0001121458968495935,5.607294842479675e-05,2.8036474212398374e-05,1.4018237106199187e-05,7.0091185530995935e-06,3.5045592765497968e-06,1.7522796382748984e-06,8.761398191374492e-07,4.380699095687246e-07,2.190349547843623e-07,1.0951747739218115e-07,5.4758738696090574e-08,2.7379369348045287e-08,1.3689684674022644e-08,6.844842337011322e-09,3.422421168505661e-09,1.7112105842528304e-09,8.556052921264152e-10,4.278026460632076e-10,2.139013230316038e-10,1.069506615158019e-10,5.347533075790095e-11,2.6737665378950476e-11,1.3368832689475238e-11,6.684416344737619e-12,3.3422081723688095e-12,1.6711040861844047e-12,8.355520430922024e-13,4.177760215461012e-13,2.088880107730506e-13,1.044440053865253e-13,5.222200269326265e-14,2.6111001346631324e-14,1.3055500673315662e-14,6.527750336657831e-15,3.2638751683289155e-15,1.6319375841644577e-15,8.159687920822289e-16,4.0798439604111444e-16,2.0399219802055722e-16,1.0199609901027861e-16,5.0998049505139305e-17,2.5499024752569652e-17,1.2749512376284826e-17,6.374756188142413e-18,3.1873780940712065e-18,1.5936890470356033e-18,7.968445235178016e-19,3.984222617589008e-19,1.992111308794504e-19,9.96055654397252e-20,4.98027827198626e-20,2.49013913599313e-20,1.245069567996565e-20,6.225347839982825e-21,3.1126739199914126e-21,1.5563369599957063e-21,7.781684799978532e-22,3.890842399989266e-22,1.945421199994633e-22,9.727105999973164e-23,4.863552999986582e-23,2.431776499993291e-23,1.2158882499966456e-23,6.079441249983228e-24,3.039720624991614e-24,1.519860312495807e-24,7.599301562479035e-25,3.7996507812395174e-25,1.8998253906197587e-25,9.499126953098793e-26,4.749563476549397e-26,2.3747817382746984e-26,1.1873908691373492e-26,5.936954345686746e-27,2.968477172843373e-27,1.4842385864216865e-27,7.421192932108432e-28,3.710596466054216e-28,1.855298233027108e-28,9.27649116513554e-29,4.63824558256777e-29,2.319122791283885e-29,1.1595613956419426e-29,5.797806978209713e-30,2.8989034891048564e-30,1.4494517445524282e-30,7.247258722762141e-31
0,bp,0.2703252032520325,0.13516260162601626,0.06758130081300813,0.033790650406504065,0.016895325203252032,0.008447662601626016,0.004223831300813008,0.002111915650406504,0.001055957825203252,0.000527978912601626,0.000263989456300813,0.0001319947281504065,6.599736407520325e-05,3.2998682037601626e-05,1.6499341018800813e-05,8.249670509400406e-06,4.124835254700203e-06,2.0624176273501016e-06,1.0312088136750508e-06,5.156044068375254e-07,2.578022034187627e-07,1.2890110170938135e-07,6.445055085469068e-08,3.222527542734534e-08,1.611263771367267e-08,8.056318856836334e-09,4.028159428418167e-09,2.0140797142090836e-09,1.0070398571045418e-09,5.035199285522709e-10,2.5175996427613545e-10,1.2587998213806773e-10,6.293999106903386e-11,3.146999553451693e-11,1.5734997767258466e-11,7.867498883629233e-12,3.9337494418146164e-12,1.9668747209073082e-12,9.834373604536541e-13,4.917186802268271e-13,2.4585934011341353e-13,1.2292967005670676e-13,6.146483502835338e-14,3.073241751417669e-14,1.5366208757088345e-14,7.683104378544173e-15,3.841552189272086e-15,1.920776094636043e-15,9.603880473180216e-16,4.801940236590108e-16,2.400970118295054e-16,1.200485059147527e-16,6.002425295737635e-17,3.0012126478688175e-17,1.5006063239344087e-17,7.503031619672044e-18,3.751515809836022e-18,1.875757904918011e-18,9.378789524590055e-19,4.689394762295027e-19,2.3446973811475137e-19,1.1723486905737568e-19,5.861743452868784e-20,2.930871726434392e-20,1.465435863217196e-20,7.32717931608598e-21,3.66358965804299e-21,1.831794829021495e-21,9.158974145107475e-22,4.579487072553738e-22,2.289743536276869e-22,1.1448717681384344e-22,5.724358840692172e-23,2.862179420346086e-23,1.431089710173043e-23,7.155448550865215e-24,3.5777242754326075e-24,1.7888621377163037e-24,8.944310688581519e-25,4.472155344290759e-25,2.2360776721453797e-25,1.1180388360726898e-25,5.590194180363449e-26,2.7950970901817246e-26,1.3975485450908623e-26,6.987742725454312e-27,3.493871362727156e-27,1.746935681363578e-27,8.73467840681789e-28,4.367339203408945e-28,2.1836696017044724e-28,1.0918348008522362e-28,5.459174004261181e-29,2.7295870021305904e-29,1.3647935010652952e-29,6.823967505326476e-30,3.411983752663238e-30,1.705991876331619e-30,8.529959381658095e-31
1,tv,0.33261802575107297,0.11087267525035766,0.036957558416785885,0.009239389604196471,0.004619694802098236,0.002309847401049118,0.0005774618502622795,0.00014436546256556986,7.218273128278493e-05,2.4060910427594977e-05,6.015227606898744e-06,2.005075868966248e-06,1.002537934483124e-06,3.341793114943746e-07,1.1139310383145821e-07,2.7848275957864552e-08,1.3924137978932276e-08,6.962068989466138e-09,3.481034494733069e-09,1.7405172473665345e-09,4.3512931184163363e-10,1.0878232796040841e-10,5.4391163980204203e-11,2.7195581990102102e-11,1.3597790995051051e-11,3.3994477487627627e-12,1.6997238743813814e-12,8.498619371906907e-13,4.2493096859534534e-13,1.0623274214883633e-13,2.6558185537209084e-14,8.852728512403027e-15,2.9509095041343425e-15,7.377273760335856e-16,3.688636880167928e-16,9.22159220041982e-17,2.305398050104955e-17,7.684660167016517e-18,2.5615533890055056e-18,6.403883472513764e-19,3.201941736256882e-19,1.600970868128441e-19,4.0024271703211025e-20,1.3341423901070342e-20,4.4471413003567806e-21,1.48238043345226e-21,3.70595108363065e-22,9.264877709076625e-23,4.6324388545383127e-23,2.3162194272691563e-23,5.790548568172891e-24,1.4476371420432227e-24,7.238185710216114e-25,1.8095464275540284e-25,9.047732137770142e-26,3.0159107125900473e-26,7.539776781475118e-27,1.8849441953687796e-27,9.424720976843898e-28,3.141573658947966e-28,1.0471912196493218e-28,3.4906373988310724e-29,1.7453186994155362e-29,5.817728998051787e-30,2.9088644990258936e-30,7.272161247564734e-31,3.636080623782367e-31,9.090201559455917e-32,4.5451007797279587e-32,1.1362751949319897e-32,3.787583983106632e-33,1.2625279943688774e-33,6.312639971844387e-34,1.5781599929610967e-34,7.890799964805484e-35,1.972699991201371e-35,4.931749978003427e-36,1.6439166593344756e-36,4.109791648336189e-37,2.0548958241680945e-37,6.849652747226981e-38,1.7124131868067454e-38,8.562065934033727e-39,2.1405164835084317e-39,5.351291208771079e-40,2.6756456043855396e-40,8.918818681285132e-41,4.459409340642566e-41,1.4864697802141885e-41,7.432348901070943e-42,2.4774496336903142e-42,6.1936240842257856e-43,1.5484060210564464e-43,7.742030105282232e-44,3.871015052641116e-44,9.67753763160279e-45,2.4193844079006975e-45,1.2096922039503487e-45,6.048461019751744e-46
1,tn,0.3966380543633762,0.09915951359084405,0.04957975679542202,0.012394939198855506,0.004131646399618502,0.002065823199809251,0.0006886077332697502,0.0003443038666348751,0.00011476795554495837,2.869198888623959e-05,1.4345994443119796e-05,7.172997221559898e-06,1.7932493053899745e-06,4.483123263474936e-07,1.494374421158312e-07,7.47187210579156e-08,1.86796802644789e-08,9.33984013223945e-09,2.3349600330598626e-09,1.1674800165299313e-09,5.837400082649656e-10,1.459350020662414e-10,4.864500068874713e-11,2.4322500344373566e-11,8.107500114791188e-12,2.026875028697797e-12,1.0134375143488985e-12,5.067187571744492e-13,2.533593785872246e-13,1.266796892936123e-13,3.166992232340308e-14,1.583496116170154e-14,3.958740290425385e-15,1.3195800968084615e-15,3.2989502420211537e-16,1.6494751210105768e-16,4.123687802526442e-17,1.0309219506316105e-17,5.154609753158053e-18,2.5773048765790263e-18,1.2886524382895132e-18,6.443262191447566e-19,1.6108155478618914e-19,5.369385159539638e-20,1.3423462898849095e-20,6.711731449424548e-21,1.677932862356137e-21,8.389664311780685e-22,2.7965547705935615e-22,6.991386926483904e-23,1.747846731620976e-23,5.82615577206992e-24,2.91307788603496e-24,9.710259620116532e-25,2.427564905029133e-25,6.068912262572832e-26,1.517228065643208e-26,5.0574268854773604e-27,1.2643567213693401e-27,3.1608918034233502e-28,1.5804459017116751e-28,7.902229508558376e-29,3.951114754279188e-29,9.87778688569797e-30,4.938893442848985e-30,1.2347233607122462e-30,3.0868084017806155e-31,1.0289361339268717e-31,2.572340334817179e-32,1.2861701674085896e-32,6.430850837042948e-33,1.607712709260737e-33,8.038563546303685e-34,4.0192817731518425e-34,2.0096408865759212e-34,5.024102216439803e-35,2.5120511082199015e-35,6.280127770549754e-36,1.5700319426374385e-36,7.850159713187192e-37,1.962539928296798e-37,9.81269964148399e-38,2.4531749103709976e-38,8.177249701236658e-39,4.088624850618329e-39,1.0221562126545822e-39,2.5553905316364556e-40,6.388476329091139e-41,3.1942381645455695e-41,1.0647460548485231e-41,5.3237302742426156e-42,1.7745767580808717e-42,4.436441895202179e-43,1.1091104738005448e-43,5.545552369002724e-44,2.772776184501362e-44,6.931940461253405e-45,3.4659702306267026e-45,1.7329851153133513e-45
1,bl,0.2296137339055794,0.1148068669527897,0.05740343347639485,0.028701716738197425,0.014350858369098713,0.007175429184549356,0.003587714592274678,0.001793857296137339,0.0008969286480686695,0.00044846432403433477,0.00022423216201716739,0.00011211608100858369,5.6058040504291847e-05,2.8029020252145923e-05,1.4014510126072962e-05,7.007255063036481e-06,3.5036275315182404e-06,1.7518137657591202e-06,8.759068828795601e-07,4.3795344143978005e-07,2.1897672071989003e-07,1.0948836035994501e-07,5.4744180179972506e-08,2.7372090089986253e-08,1.3686045044993127e-08,6.843022522496563e-09,3.4215112612482817e-09,1.7107556306241408e-09,8.553778153120704e-10,4.276889076560352e-10,2.138444538280176e-10,1.069222269140088e-10,5.34611134570044e-11,2.67305567285022e-11,1.33652783642511e-11,6.68263918212555e-12,3.341319591062775e-12,1.6706597955313875e-12,8.353298977656938e-13,4.176649488828469e-13,2.0883247444142344e-13,1.0441623722071172e-13,5.220811861035586e-14,2.610405930517793e-14,1.3052029652588965e-14,6.5260148262944825e-15,3.2630074131472413e-15,1.6315037065736206e-15,8.157518532868103e-16,4.0787592664340516e-16,2.0393796332170258e-16,1.0196898166085129e-16,5.0984490830425645e-17,2.5492245415212822e-17,1.2746122707606411e-17,6.3730613538032056e-18,3.1865306769016028e-18,1.5932653384508014e-18,7.966326692254007e-19,3.9831633461270035e-19,1.9915816730635017e-19,9.957908365317509e-20,4.9789541826587544e-20,2.4894770913293772e-20,1.2447385456646886e-20,6.223692728323443e-21,3.1118463641617215e-21,1.5559231820808607e-21,7.779615910404304e-22,3.889807955202152e-22,1.944903977601076e-22,9.72451988800538e-23,4.86225994400269e-23,2.431129972001345e-23,1.2155649860006725e-23,6.077824930003362e-24,3.038912465001681e-24,1.5194562325008406e-24,7.597281162504203e-25,3.7986405812521014e-25,1.8993202906260507e-25,9.496601453130254e-26,4.748300726565127e-26,2.3741503632825634e-26,1.1870751816412817e-26,5.9353759082064085e-27,2.9676879541032042e-27,1.4838439770516021e-27,7.419219885258011e-28,3.7096099426290053e-28,1.8548049713145026e-28,9.274024856572513e-29,4.6370124282862566e-29,2.3185062141431283e-29,1.1592531070715642e-29,5.796265535357821e-30,2.8981327676789104e-30,1.4490663838394552e-30,7.245331919197276e-31
1,bp,0.2296137339055794,0.1148068669527897,0.05740343347639485,0.028701716738197425,0.014350858369098713,0.007175429184549356,0.003587714592274678,0.001793857296137339,0.0008969286480686695,0.00044846432403433477,0.00022423216201716739,0.00011211608100858369,5.6058040504291847e-05,2.8029020252145923e-05,1.4014510126072962e-05,7.007255063036481e-06,3.5036275315182404e-06,1.7518137657591202e-06,8.759068828795601e-07,4.3795344143978005e-07,2.1897672071989003e-07,1.0948836035994501e-07,5.4744180179972506e-08,2.7372090089986253e-08,1.3686045044993127e-08,6.843022522496563e-09,3.4215112612482817e-09,1.7107556306241408e-09,8.553778153120704e-10,4.276889076560352e-10,2.138444538280176e-10,1.069222269140088e-10,5.34611134570044e-11,2.67305567285022e-11,1.33652783642511e-11,6.68263918212555e-12,3.341319591062775e-12,1.6706597955313875e-12,8.353298977656938e-13,4.176649488828469e-13,2.0883247444142344e-13,1.0441623722071172e-13,5.220811861035586e-14,2.610405930517793e-14,1.3052029652588965e-14,6.5260148262944825e-15,3.2630074131472413e-15,1.6315037065736206e-15,8.157518532868103e-16,4.0787592664340516e-16,2.0393796332170258e-16,1.0196898166085129e-16,5.0984490830425645e-17,2.5492245415212822e-17,1.2746122707606411e-17,6.3730613538032056e-18,3.1865306769016028e-18,1.5932653384508014e-18,7.966326692254007e-19,3.9831633461270035e-19,1.9915816730635017e-19,9.957908365317509e-20,4.9789541826587544e-20,2.4894770913293772e-20,1.2447385456646886e-20,6.223692728323443e-21,3.1118463641617215e-21,1.5559231820808607e-21,7.779615910404304e-22,3.889807955202152e-22,1.944903977601076e-22,9.72451988800538e-23,4.86225994400269e-23,2.431129972001345e-23,1.2155649860006725e-23,6.077824930003362e-24,3.038912465001681e-24,1.5194562325008406e-24,7.597281162504203e-25,3.7986405812521014e-25,1.8993202906260507e-25,9.496601453130254e-26,4.748300726565127e-26,2.3741503632825634e-26,1.1870751816412817e-26,5.9353759082064085e-27,2.9676879541032042e-27,1.4838439770516021e-27,7.419219885258011e-28,3.7096099426290053e-28,1.8548049713145026e-28,9.274024856572513e-29,4.6370124282862566e-29,2.3185062141431283e-29,1.1592531070715642e-29,5.796265535357821e-30,2.8981327676789104e-30,1.4490663838394552e-30,7.245331919197276e-31
2,tv,0.3997445721583653,0.09993614303959132,0.04996807151979566,0.016656023839931887,0.004164005959982972,0.002082002979991486,0.0006940009933304953,0.00023133366444349842,7.711122148116613e-05,1.9277805370291533e-05,9.638902685145766e-06,3.2129675617152553e-06,1.0709891872384184e-06,2.677472968096046e-07,1.338736484048023e-07,3.3468412101200576e-08,1.1156137367066858e-08,3.7187124556889523e-09,9.296781139222381e-10,4.6483905696111903e-10,1.1620976424027976e-10,5.810488212013988e-11,1.452622053003497e-11,7.263110265017485e-12,1.8157775662543712e-12,6.05259188751457e-13,2.0175306291715235e-13,1.0087653145857617e-13,2.5219132864644043e-14,8.406377621548014e-15,4.203188810774007e-15,1.0507972026935018e-15,5.253986013467509e-16,1.3134965033668773e-16,6.567482516834386e-17,2.1891608389447952e-17,1.0945804194723976e-17,3.648601398241325e-18,1.8243006991206626e-18,4.560751747801656e-19,1.140187936950414e-19,5.70093968475207e-20,1.4252349211880176e-20,7.126174605940088e-21,1.781543651485022e-21,5.938478838283406e-22,1.4846197095708515e-22,7.423098547854258e-23,2.4743661826180858e-23,1.2371830913090429e-23,4.12394363769681e-24,2.061971818848405e-24,5.154929547121012e-25,1.288732386780253e-25,6.443661933901265e-26,1.6109154834753163e-26,5.369718278251054e-27,1.3424295695627634e-27,4.474765231875878e-28,1.1186913079689695e-28,5.593456539844848e-29,1.398364134961212e-29,4.66121378320404e-30,1.5537379277346799e-30,3.8843448193366996e-31,9.710862048341749e-32,3.236954016113916e-32,8.09238504028479e-33,4.046192520142395e-33,1.0115481300355988e-33,3.3718271001186625e-34,1.1239423667062208e-34,2.809855916765552e-35,1.404927958382776e-35,3.51231989595694e-36,1.75615994797847e-36,8.78079973989235e-37,2.1951999349730876e-37,1.0975999674865438e-37,2.7439999187163595e-38,1.3719999593581797e-38,3.4299998983954494e-39,8.574999745988623e-40,2.143749936497156e-40,5.35937484124289e-41,1.3398437103107224e-41,6.699218551553612e-42,1.674804637888403e-42,8.374023189442015e-43,2.0935057973605038e-43,1.0467528986802519e-43,5.233764493401259e-44,1.3084411233503149e-44,4.361470411167716e-45,1.090367602791929e-45,5.451838013959645e-46,1.3629595034899113e-46,4.54319834496637e-47,1.1357995862415926e-47
2,tn,0.1698595146871009,0.08492975734355045,0.028309919114516816,0.007077479778629204,0.0023591599262097343,0.0005897899815524336,0.0001474474953881084,4.914916512936946e-05,2.457458256468473e-05,6.143645641171183e-06,2.047881880390394e-06,5.119704700975985e-07,1.7065682336586615e-07,8.532841168293308e-08,2.133210292073327e-08,7.110700973577756e-09,3.555350486788878e-09,8.888376216972195e-10,4.4441881084860973e-10,1.1110470271215243e-10,5.555235135607622e-11,1.3888087839019054e-11,3.4720219597547635e-12,8.680054899386909e-13,4.3400274496934544e-13,1.4466758165644847e-13,4.822252721881616e-14,1.205563180470404e-14,3.01390795117601e-15,1.506953975588005e-15,3.7673849389700123e-16,1.2557949796566706e-16,6.278974898283353e-17,2.0929916327611176e-17,5.232479081902794e-18,2.616239540951397e-18,8.720798469837989e-19,2.9069328232793295e-19,9.689776077597765e-20,2.4224440193994413e-20,1.2112220096997206e-20,3.0280550242493016e-21,1.5140275121246508e-21,5.046758373748836e-22,2.523379186874418e-22,8.411263956248059e-23,2.803754652082686e-23,9.345848840275621e-24,3.1152829467585403e-24,1.5576414733792701e-24,5.192138244597567e-25,1.2980345611493917e-25,4.3267818704979723e-26,1.0816954676244931e-26,3.60565155874831e-27,1.802825779374155e-27,6.009419264580516e-28,1.502354816145129e-28,3.755887040362823e-29,1.8779435201814114e-29,4.6948588004535285e-30,2.3474294002267642e-30,5.868573500566911e-31,1.9561911668556367e-31,4.890477917139092e-32,1.6301593057130305e-32,8.150796528565153e-33,2.716932176188384e-33,6.79233044047096e-34,3.39616522023548e-34,1.69808261011774e-34,4.24520652529435e-35,2.122603262647175e-35,5.3065081566179376e-36,1.768836052205979e-36,8.844180261029895e-37,2.2110450652574737e-37,5.527612663143684e-38,1.381903165785921e-38,3.454757914464803e-39,1.7273789572324013e-39,4.318447393081003e-40,1.0796118482702508e-40,3.598706160900836e-41,1.1995687203002784e-41,5.997843601501392e-42,1.9992812005004638e-42,9.996406002502319e-43,3.3321353341674396e-43,8.330338335418599e-44,4.1651691677092995e-44,1.0412922919273249e-44,3.470974306424416e-45,1.1569914354748052e-45,5.784957177374026e-46,1.9283190591246752e-46,9.641595295623376e-47,2.410398823905844e-47,8.034662746352814e-48
